Algo,Nodes,Network Filename,History Length,Sent Messages,Received Messages
my-approach,5,1.0-0,5,3,3
my-approach,5,1.0-1,5,4,5
my-approach,5,1.0-2,5,4,5
my-approach,5,1.0-3,5,4,5
my-approach,5,1.0-4,5,3,3
my-approach,5,2.0-0,5,5,6
my-approach,5,2.0-1,5,4,6
my-approach,5,2.0-2,5,4,5
my-approach,5,2.0-3,5,3,3
my-approach,5,2.0-4,5,3,3
my-approach,5,3.0-0,5,5,16
my-approach,5,3.0-1,5,5,9
my-approach,5,3.0-2,5,4,8
my-approach,5,3.0-3,5,5,10
my-approach,5,3.0-4,5,5,12
my-approach,5,4.0-0,5,4,10
my-approach,5,4.0-1,5,5,10
my-approach,5,4.0-2,5,4,8
my-approach,5,4.0-3,5,5,9
my-approach,5,4.0-4,5,5,16
my-approach,5,5.0-0,5,5,16
my-approach,5,5.0-1,5,5,16
my-approach,5,5.0-2,5,5,16
my-approach,5,5.0-3,5,5,16
my-approach,5,5.0-4,5,5,14
my-approach,50,11.0-0,5,49,266
my-approach,50,11.0-1,5,46,256
my-approach,50,11.0-2,5,49,248
my-approach,50,11.0-3,5,49,233
my-approach,50,11.0-4,5,49,281
my-approach,50,13.5-0,5,50,401
my-approach,50,13.5-1,5,49,318
my-approach,50,13.5-2,5,49,386
my-approach,50,13.5-3,5,49,358
my-approach,50,13.5-4,5,48,395
my-approach,50,15.0-0,5,50,476
my-approach,50,15.0-1,5,50,452
my-approach,50,15.0-2,5,50,487
my-approach,50,15.0-3,5,50,443
my-approach,50,15.0-4,5,50,443
my-approach,50,8.0-0,5,43,128
my-approach,50,8.0-1,5,46,136
my-approach,50,8.0-2,5,45,133
my-approach,50,8.0-3,5,42,101
my-approach,50,8.0-4,5,45,110
my-approach,50,9.0-0,5,45,163
my-approach,50,9.0-1,5,50,166
my-approach,50,9.0-2,5,44,169
my-approach,50,9.0-3,5,45,122
my-approach,50,9.0-4,5,46,163
my-approach,100,11.0-0,5,94,268
my-approach,100,11.0-1,5,89,270
my-approach,100,11.0-2,5,91,265
my-approach,100,11.0-3,5,90,272
my-approach,100,11.0-4,5,89,243
my-approach,100,12.0-0,5,89,255
my-approach,100,12.0-1,5,91,304
my-approach,100,12.0-2,5,92,295
my-approach,100,12.0-3,5,94,275
my-approach,100,12.0-4,5,94,350
my-approach,100,15.0-0,5,98,502
my-approach,100,15.0-1,5,98,486
my-approach,100,15.0-2,5,96,498
my-approach,100,15.0-3,5,100,487
my-approach,100,15.0-4,5,100,492
my-approach,100,18.0-0,5,98,794
my-approach,100,18.0-1,5,100,783
my-approach,100,18.0-2,5,100,757
my-approach,100,18.0-3,5,100,793
my-approach,100,18.0-4,5,100,748
my-approach,100,20.0-0,5,100,788
my-approach,100,20.0-1,5,100,946
my-approach,100,20.0-2,5,100,891
my-approach,100,20.0-3,5,100,962
my-approach,100,20.0-4,5,100,961
my-approach,150,13.5-0,5,131,384
my-approach,150,13.5-1,5,141,442
my-approach,150,13.5-2,5,137,353
my-approach,150,13.5-3,5,135,356
my-approach,150,13.5-4,5,132,302
my-approach,150,15.0-0,5,141,459
my-approach,150,15.0-1,5,141,448
my-approach,150,15.0-2,5,143,487
my-approach,150,15.0-3,5,146,486
my-approach,150,15.0-4,5,140,500
my-approach,150,18.0-0,5,144,813
my-approach,150,18.0-1,5,147,737
my-approach,150,18.0-2,5,146,735
my-approach,150,18.0-3,5,143,763
my-approach,150,18.0-4,5,146,677
my-approach,150,22.0-0,5,150,1138
my-approach,150,22.0-1,5,149,1128
my-approach,150,22.0-2,5,150,1177
my-approach,150,22.0-3,5,150,1119
my-approach,150,22.0-4,5,148,1130
my-approach,150,24.0-0,5,148,1351
my-approach,150,24.0-1,5,150,1437
my-approach,150,24.0-2,5,150,1389
my-approach,150,24.0-3,5,150,1329
my-approach,150,24.0-4,5,150,1341
my-approach,200,16.0-0,5,188,498
my-approach,200,16.0-1,5,183,545
my-approach,200,16.0-2,5,187,510
my-approach,200,16.0-3,5,177,490
my-approach,200,16.0-4,5,180,498
my-approach,200,17.0-0,5,184,573
my-approach,200,17.0-1,5,185,628
my-approach,200,17.0-2,5,189,614
my-approach,200,17.0-3,5,181,568
my-approach,200,17.0-4,5,186,622
my-approach,200,21.0-0,5,193,956
my-approach,200,21.0-1,5,196,1017
my-approach,200,21.0-2,5,199,1057
my-approach,200,21.0-3,5,193,952
my-approach,200,21.0-4,5,196,1070
my-approach,200,25.0-0,5,200,1560
my-approach,200,25.0-1,5,199,1482
my-approach,200,25.0-2,5,199,1548
my-approach,200,25.0-3,5,199,1460
my-approach,200,25.0-4,5,199,1467
my-approach,200,27.5-0,5,200,1758
my-approach,200,27.5-1,5,200,1717
my-approach,200,27.5-2,5,200,1824
my-approach,200,27.5-3,5,200,1879
my-approach,200,27.5-4,5,200,1869
